review,rating,date,bank,source
I've been using BoA for two decades and I feel like the customer support is severely lacking if compared to some other companies. Such as reporting transaction for disputes. They won't provide support unless the transaction clears. What's the point of fraud protection if we're waiting to clear it. Do better!,2,2025-11-26,Bank of Abyssinia,Google Play
I can't contact the people PUP LABS TO STOP FUTURE TRANSACTIONS. THERE IS NO PHONE NUMBER OR CONTACT INFORMATION.,2,2025-11-26,Bank of Abyssinia,Google Play
THIS APP IS OKAY FOR NEEDS THAT MET BANK IS OKAY,4,2025-11-26,Bank of Abyssinia,Google Play
User friendly. Easy to navigate.,5,2025-11-26,Bank of Abyssinia,Google Play
easy to use and to do,5,2025-11-26,Bank of Abyssinia,Google Play
I like it,5,2025-11-26,Bank of Abyssinia,Google Play
Nice app,5,2025-11-26,Bank of Abyssinia,Google Play
don't like the ads,4,2025-11-26,Bank of Abyssinia,Google Play
very nice & easy to use. bank of america mobile app make everything easier. guys try to download ur bank of america app u will be glad u did. blc their app is very reliable & works great 👍,5,2025-11-26,Bank of Abyssinia,Google Play
"Since this morning (11/25/25) and for 12 hours since, the app keeps crashing, usually not allowing me to log in and and when I can, the lag is painful and I get the ""wait or cancel"" alert. But usually I never even get to logging in. I restarted my phone, then even uninstalled the app and reinstalled it and restarted... and it keeps crashing. There is a major bug to fix. I'm on a Google Pixel 6, Android 12. Never happened for me in the last ~8 years on any Android phone or Android OS version.",1,2025-11-26,Bank of Abyssinia,Google Play
Good,4,2025-11-26,Bank of Abyssinia,Google Play
user friendly,5,2025-11-26,Bank of Abyssinia,Google Play
It has been Awersome talking to your employee this evening thank you so much,5,2025-11-26,Bank of Abyssinia,Google Play
Now more reliable than ever.,5,2025-11-26,Bank of Abyssinia,Google Play
it's great,5,2025-11-26,Bank of Abyssinia,Google Play
"inaccurate balances , withdrawals recently not accounted for. .. °",2,2025-11-26,Bank of Abyssinia,Google Play
it's quite helpful,5,2025-11-26,Bank of Abyssinia,Google Play
i have been a customer for over 30 years. This app freezes when trying to input a name or phone number to pay with Zelle. Unreliable and Bank of America seems not to care.,1,2025-11-26,Bank of Abyssinia,Google Play
I like the app. I've used it for over 12 years. One suggestion I'd like to see is the ability to view the password (when requested). I am not aware if this ability already exists.,4,2025-11-26,Bank of Abyssinia,Google Play
like the dashboard & the new features 👌 😎,5,2025-11-26,Bank of Abyssinia,Google Play
CBE ይለያል።,5,2025-11-29,Commercial Bank of Ethiopia,Google Play
it's special for me,5,2025-11-29,Commercial Bank of Ethiopia,Google Play
Make it user friendly.,2,2025-11-29,Commercial Bank of Ethiopia,Google Play
maaliif daddafee install gaafata,3,2025-11-28,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-28,Commercial Bank of Ethiopia,Google Play
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,Commercial Bank of Ethiopia,Google Play
why didn't work this app?,1,2025-11-27,Commercial Bank of Ethiopia,Google Play
The app makes our life easier. Thank you CBE!,5,2025-11-27,Commercial Bank of Ethiopia,Google Play
this app very bad 👎,1,2025-11-27,Commercial Bank of Ethiopia,Google Play
the most advanced app. but how to stay safe?,5,2025-11-27,Commercial Bank of Ethiopia,Google Play
Good application,4,2025-11-27,Commercial Bank of Ethiopia,Google Play
It is nice app,5,2025-11-26,Commercial Bank of Ethiopia,Google Play
best,5,2025-11-25,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-25,Commercial Bank of Ethiopia,Google Play
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,Commercial Bank of Ethiopia,Google Play
nice app...,5,2025-11-25,Commercial Bank of Ethiopia,Google Play
very good banking service and fast service,5,2025-11-24,Commercial Bank of Ethiopia,Google Play
thanks blc this app help me to use all time,5,2025-11-24,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-24,Commercial Bank of Ethiopia,Google Play
why we can't send money to other people telebirr wallets??,1,2025-11-24,Commercial Bank of Ethiopia,Google Play
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,Commercial Bank of Ethiopia,Google Play
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,Commercial Bank of Ethiopia,Google Play
wow,5,2025-11-23,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-23,Commercial Bank of Ethiopia,Google Play
nice,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
you are the reason why i got ye chogara himem,1,2025-11-22,Commercial Bank of Ethiopia,Google Play
it is so smart app i recommend it for everyone,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
excellent,5,2025-11-22,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
ዳጊ,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
absolutely right,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
good app,5,2025-11-21,Commercial Bank of Ethiopia,Google Play
mid application it's so annoying,3,2025-11-20,Commercial Bank of Ethiopia,Google Play
I used morethan one year,4,2025-11-20,Commercial Bank of Ethiopia,Google Play
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,Commercial Bank of Ethiopia,Google Play
"It's great app,I love this app",5,2025-11-20,Commercial Bank of Ethiopia,Google Play
Nice,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
suckkkks,1,2025-11-19,Commercial Bank of Ethiopia,Google Play
not allowing to transfer and showing current statement updates.,1,2025-11-19,Commercial Bank of Ethiopia,Google Play
I love you this app,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,Commercial Bank of Ethiopia,Google Play
make life easy,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
securr,5,2025-11-19,Commercial Bank of Ethiopia,Google Play
My most optional bank,5,2025-11-17,Commercial Bank of Ethiopia,Google Play
5 star,5,2025-11-17,Commercial Bank of Ethiopia,Google Play
